huc12_id,year,pscutot_mgd
050400020701,2016,0.003442343
050400020701,2017,0.003911875
050400020701,2018,0.003933313
050400020701,2019,0.00351985
050400020701,2020,0.002786952
050400020702,2010,0.0
050400020702,2011,0.0
050400020702,2012,0.0
050400020702,2013,0.0
050400020702,2014,0.0
050400020702,2015,0.0
050400020702,2016,0.0
050400020702,2017,0.0
050400020702,2018,0.0
050400020702,2019,0.0
050400020702,2020,0.0
050400020703,2010,0.00053277
050400020703,2011,0.000491629
050400020703,2012,0.000622578
050400020703,2013,0.000580662
050400020703,2014,0.000661586
050400020703,2015,0.000575929
050400020703,2016,0.000601822
050400020703,2017,0.000579043
050400020703,2018,0.000544663
050400020703,2019,0.000550011
050400020703,2020,0.000513842
050400020801,2010,0.0
050400020801,2011,0.0
050400020801,2012,0.0
050400020801,2013,0.0
050400020801,2014,0.0
050400020801,2015,0.0
050400020801,2016,0.0
050400020801,2017,0.0
050400020801,2018,0.0
050400020801,2019,0.0
050400020801,2020,0.0
050400020802,2010,0.006657751
050400020802,2011,0.006764316
050400020802,2012,0.008132501
050400020802,2013,0.007515026
050400020802,2014,0.007592042
050400020802,2015,0.007953341
050400020802,2016,0.008173587
050400020802,2017,0.0078673
050400020802,2018,0.005948126
050400020802,2019,0.0062876
050400020802,2020,0.006306649
050400020803,2010,0.024216838
050400020803,2011,0.022346779
050400020803,2012,0.028298984
050400020803,2013,0.026393748
050400020803,2014,0.030072083
050400020803,2015,0.026178592
050400020803,2016,0.027355546
050400020803,2017,0.026320158
050400020803,2018,0.024757421
050400020803,2019,0.025000488
050400020803,2020,0.023356451
050400020804,2010,0.0
050400020804,2011,0.0
050400020804,2012,0.0
050400020804,2013,0.0
050400020804,2014,0.0
050400020804,2015,0.0
050400020804,2016,0.0
050400020804,2017,0.0
050400020804,2018,0.0
050400020804,2019,0.0
050400020804,2020,0.0
050400020805,2010,0.0
050400020805,2011,0.0
050400020805,2012,0.0
050400020805,2013,0.0
050400020805,2014,0.0
050400020805,2015,0.0
