huc12_id,year,pscutot_mgd
020503050106,2016,9.8064e-05
020503050106,2017,9.339e-05
020503050106,2018,8.0998e-05
020503050106,2019,9.5334e-05
020503050106,2020,9.3534e-05
020503050107,2010,0.004458019
020503050107,2011,0.004201282
020503050107,2012,0.004441257
020503050107,2013,0.004295592
020503050107,2014,0.004133643
020503050107,2015,0.004339223
020503050107,2016,0.004291227
020503050107,2017,0.00412019
020503050107,2018,0.003543765
020503050107,2019,0.004094017
020503050107,2020,0.004004354
020503050201,2010,0.033351946
020503050201,2011,0.027626686
020503050201,2012,0.031351495
020503050201,2013,0.031169436
020503050201,2014,0.028658498
020503050201,2015,0.02418604
020503050201,2016,0.027135326
020503050201,2017,0.023430445
020503050201,2018,0.015821574
020503050201,2019,0.029323559
020503050201,2020,0.02984874
020503050202,2010,0.000225306
020503050202,2011,0.000201352
020503050202,2012,0.000243623
020503050202,2013,0.000238847
020503050202,2014,0.000230659
020503050202,2015,0.000220327
020503050202,2016,0.00023548
020503050202,2017,0.000249541
020503050202,2018,0.000206645
020503050202,2019,0.00022929
020503050202,2020,0.000219352
020503050203,2010,0.0
020503050203,2011,0.0
020503050203,2012,0.0
020503050203,2013,0.0
020503050203,2014,0.0
020503050203,2015,0.0
020503050203,2016,0.0
020503050203,2017,0.0
020503050203,2018,0.0
020503050203,2019,0.0
020503050203,2020,0.0
020503050301,2010,0.067272438
020503050301,2011,0.055528588
020503050301,2012,0.063051982
020503050301,2013,0.062734878
020503050301,2014,0.057527729
020503050301,2015,0.048331001
020503050301,2016,0.054428161
020503050301,2017,0.046702437
020503050301,2018,0.031260071
020503050301,2019,0.058957907
020503050301,2020,0.060199655
020503050302,2010,0.065366069
020503050302,2011,0.053960604
020503050302,2012,0.061214307
020503050302,2013,0.060901076
020503050302,2014,0.055841867
020503050302,2015,0.046861655
020503050302,2016,0.052818161
020503050302,2017,0.045150868
020503050302,2018,0.030145825
020503050302,2019,0.057076629
020503050302,2020,0.058279697
020503050303,2010,0.0
020503050303,2011,0.0
020503050303,2012,0.0
020503050303,2013,0.0
020503050303,2014,0.0
020503050303,2015,0.0
020503050303,2016,0.0
020503050303,2017,0.0
020503050303,2018,0.0
020503050303,2019,0.0
020503050303,2020,0.0
020503050304,2010,0.0
020503050304,2011,0.0
020503050304,2012,0.0
020503050304,2013,0.0
020503050304,2014,0.0
020503050304,2015,0.0
020503050304,2016,0.0
020503050304,2017,0.0
020503050304,2018,0.0
020503050304,2019,0.0
020503050304,2020,0.0
020503050305,2010,0.0
020503050305,2011,0.0
020503050305,2012,0.0
020503050305,2013,0.0
020503050305,2014,0.0
020503050305,2015,0.0
020503050305,2016,0.0
020503050305,2017,0.0
020503050305,2018,0.0
020503050305,2019,0.0
020503050305,2020,0.0
020503050306,2010,0.00101795
020503050306,2011,0.000907101
020503050306,2012,0.001026635
020503050306,2013,0.000997105
020503050306,2014,0.000949176
020503050306,2015,0.000971925
020503050306,2016,0.000987479
020503050306,2017,0.000934622
020503050306,2018,0.000808492
020503050306,2019,0.000960701
020503050306,2020,0.000917976
020503050307,2010,0.0
020503050307,2011,0.0
020503050307,2012,0.0
020503050307,2013,0.0
020503050307,2014,0.0
020503050307,2015,0.0
020503050307,2016,0.0
020503050307,2017,0.0
020503050307,2018,0.0
020503050307,2019,0.0
020503050307,2020,0.0
020503050308,2010,0.023894872
020503050308,2011,0.021241118
020503050308,2012,0.023717189
020503050308,2013,0.024056862
020503050308,2014,0.022405269
020503050308,2015,0.022635483
020503050308,2016,0.023199238
020503050308,2017,0.022789648
020503050308,2018,0.02024495
020503050308,2019,0.02235992
020503050308,2020,0.024131584
020503050401,2010,0.0
020503050401,2011,0.0
020503050401,2012,0.0
020503050401,2013,0.0
020503050401,2014,0.0
020503050401,2015,0.0
020503050401,2016,0.0
020503050401,2017,0.0
020503050401,2018,0.0
020503050401,2019,0.0
020503050401,2020,0.0
020503050402,2010,0.003900608
020503050402,2011,0.003557595
020503050402,2012,0.004029091
020503050402,2013,0.00387569
020503050402,2014,0.003686078
